zip,lat,lon
00601,18.1811645,-66.74578152586207
00602,18.3650905,-67.1797134615903
00603,18.450834,-67.11991190256543
00606,18.1613525,-66.93063449228195
00610,18.2913335,-67.13137058704348
00611,18.2754255,-66.79949612263033
00612,18.4067365,-66.72963735769501
00616,18.4100965,-66.66357640082387
00617,18.441478,-66.55899378282078
00622,17.9866225,-67.16422717257801
00623,18.0969755,-67.15228712309644
00624,18.0478065,-66.71481423957795
00627,18.419444,-66.86281485043742
00631,18.186999999999998,-66.82682304549097
00636,18.1645645,-67.0817835229682
00637,18.084637999999998,-66.94807161877456
00638,18.268282499999998,-66.50906802601064
00641,18.261376,-66.69968726387097
00646,18.4320205,-66.2798048544737
00647,17.965889500000003,-66.95244140777262
00650,18.3477085,-66.56250528238772
00652,18.4584625,-66.5969053972212
00653,17.986624499999998,-66.88568847792288
00656,18.0423135,-66.79562952890223
00659,18.408416,-66.79676329268293
00660,18.132164,-67.11251402571529
00662,18.461347,-67.00969592202102
00664,18.225742,-66.58955652413985
00667,18.0112025,-67.03534763864202
00669,18.2692345,-66.86104331591741
00670,18.238782,-66.98842954958678
00674,18.419715500000002,-66.49001131426112
00676,18.3838385,-67.0874912255877
00677,18.3366275,-67.2346176941659
00678,18.4271995,-66.92241823151343
00680,18.203795,-67.08605570060354
00682,18.212943000000003,-67.15224475
00683,18.1132165,-67.03233890115882
00685,18.337526,-66.96969419907063
00687,18.3167295,-66.41232898778385
00688,18.382392000000003,-66.62482261926496
00690,18.495025,-67.09401818488944
00692,18.4104465,-66.33264453108926
00693,18.42051,-66.39945586816125
00694,18.484963999999998,-66.38863358656957
00698,18.060997,-66.86112370875082
00703,18.250433,-66.13034049133262
00704,17.964647,-66.21863115964175
00705,18.125422,-66.27639841347538
00707,18.0176735,-65.90616490081521
00714,17.9941125,-66.04970799700817
00715,17.9917125,-66.56477348601399
00716,17.9927595,-66.6169250909229
00717,17.9992425,-66.61337285539284
00718,18.2334575,-65.75710195793096
00719,18.2877595,-66.24818446856287
00720,18.2284885,-66.41765960843685
00723,18.034494000000002,-66.01470166343579
00725,18.219817,-66.02730919831222
00727,18.2102565,-66.08289020127118
00728,18.000460500000003,-66.66284264698331
00729,18.340199,-65.89054141363636
00730,18.03237,-66.60989628299882
00731,18.1034495,-66.6282824972941
00735,18.246463,-65.66754645049546
00736,18.104264999999998,-66.16358007501475
00738,18.3368215,-65.59388120951877
00739,18.181987499999998,-66.1570258698721
00740,18.3368215,-65.63068098377249
00741,18.163087,-65.7491125538808
00745,18.349774500000002,-65.81778456161794
00751,18.003315,-66.27121202053824
00754,18.152420499999998,-65.97554566291026
00757,17.990318000000002,-66.3925863487395
00765,18.1209985,-65.41664956383838
00766,18.1299965,-66.47548224420055
00767,18.0668845,-65.90033562935005
00769,18.0907185,-66.35115038216267
00771,18.196111,-65.86224883734577
00772,18.431841,-65.88569335764075
00773,18.3405625,-65.71636529948431
00775,18.3198735,-65.2784402294078
00777,18.206394500000002,-65.91390375106837
00778,18.255705,-65.97490187194431
00780,18.097349,-66.56017844517544
00782,18.22486,-66.22381136428572
00783,18.302172,-66.33460544175048
00784,18.0111275,-66.14421382144575
00786,18.136287,-66.22801630096009
00791,18.1379895,-65.81785441860491
00794,18.198701,-66.30855954263217
00795,18.059978,-66.48695106547619
00802,18.3477725,-64.94891377407086
00820,17.7340575,-64.68754535683716
00830,18.335604,-64.72986126367553
00840,17.726742,-64.8521013509804
00850,17.7246945,-64.78890283192612
00851,17.747249,-64.78772299010555
00901,18.468498,-66.10763503149059
00906,18.4644245,-66.09499771429128
00907,18.4517085,-66.08970493473532
00909,18.4418845,-66.06924411963968
00911,18.4547535,-66.05578942833354
00912,18.444729,-66.05928961893204
00913,18.4558375,-66.0430237576597
00915,18.4376835,-66.04726884831786
00917,18.4207,-66.05024228919001
00918,18.4216895,-66.06919335175651
